成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
ACE阻害薬,d−α−トコフェロール,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,d−α−トコフェロール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,d−α−トコフェロール,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,d−α−トコフェロール,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−α−トコフェロール,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,d−カンフル,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,d−カンフル,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,d−カンフル,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,d−カンフル,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
d−カンフル,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−カンフル,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,d−クロルフェニラミン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,d−クロルフェニラミン,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,シクロスポリン,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,フェニトイン,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,カルバマゼピン,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,インスリン,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
SSRI,d−クロルフェニラミン,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,d−クロルフェニラミン,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,ベンゾジアゼピン系,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,降圧薬,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,クマリン系抗凝血薬,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,タクロリムス,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,シクロホスファミド,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
d−クロルフェニラミン,フルコナゾール,中,眠気・注意力低下の増強,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,アスピリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,d−ボルネオール,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,d−ボルネオール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,d−ボルネオール,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,d−ボルネオール,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
d−ボルネオール,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
