製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
婦人華Ｎ,ジェーピーエス製薬,第2類,解熱鎮痛薬,月経不順、月経痛、血の道症、こしけ、冷え症、のぼせ、貧血、めまい、腰痛、頭痛、肩こり、更年期障害,"次の量を食前又は食間に水又はお湯にて服用してください
成人（１５歳以上）：１回３錠
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．食間とは食後２～３時間を指します",15,"カンゾウ
ケイヒ
サフラン
シャクヤク
センキュウ
タクシャ
トウキ
トウニン
ニンジン
ビャクジュツ
ブクリョウ
ボタンピ
酢酸ｄ−α−トコフェロール",禁止物質なし,,
エベナＬ,全薬工業,第2類,解熱鎮痛薬,更年期障害、冷え症、月経不順、血の道症及びそれらに随伴する次の諸症状：肩こり、頭痛、のぼせ、腰痛、月経痛、血色不良、めまい、動悸、息切れ、手足のしびれ、むくみ、こしけ、便秘,"次の量を食前又は食間に服用してください
１５歳以上：１回３錠
１日３回服用
１５歳未満：服用しないこと",15,"オウゴンエキス
コウカエキス
コウブシエキス
サフラン末
シャクヤク末
センキュウ末
トウキ末
ビャクジュツエキス
ブクリョウエキス
ヤクモソウエキス",禁止物質なし,,
中将湯ラムール,ツムラ,第2類,解熱鎮痛薬,血の道症、冷え症、手足のしびれ、月経不順、こしけ、動悸、息切れ、めまい、のぼせ、頭痛、腰痛、肩こり、むくみ、血色不良、便秘、月経痛,"次の量を、空腹時又は就寝時に水又はお湯で服用してください
成人（１５歳以上）：１回４錠
１日２回服用
１５歳未満：服用しないでください",15,"エンゴサク
オウレン
カンゾウ
ケイヒ
コウブシ
シャクヤク
ショウキョウ
ジオウ
センキュウ
ソウジュツ
チョウジ
トウキ
トウニン
トウヒ
ニンジン
ブクリョウ
ボタンピ",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
日野実母散,日野薬品工業,第2類,解熱鎮痛薬,産前産後、血の道、月経不順、頭痛、ヒステリー、引風によし,"１日１貼を、３回、毎食前３０分に次の通り服用してください
１６歳以上（大人）
１、２回目：そのつど約２００ｍＬ（約１合）の熱湯を加えて振り出し、その全量を温服する
３回目：約３００ｍＬ（約１合５勺）の水を加えて半量になるまで煎じ、その全量を温服する
８歳以上１６歳未満
１、２回目：そのつど約２００ｍＬ（約１合）の熱湯を加えて振り出し、その半量を温服する
３回目：約３００ｍＬ（約１合５勺）の水を加えて半量になるまで煎じ、更にその半量を温服する
４歳以上８歳未満
１、２回目：そのつど約２００ｍＬ（約１合）の熱湯を加えて振り出し、その１／３量を温服する
３回目：約３００ｍＬ（約１合５勺）の水を加えて半量になるまで煎じ、更にその１／３量を温服する
４歳未満：服用しないこと
１．定められた用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください",4,"カンゾウ
ケイヒ
コウカ
コウブシ
サフラン
シャクヤク
シュクシャ
センキュウ
ソウジュツ
チョウジ
チンピ
トウキ
ニンジン
ブクリョウ
ボタンピ
モッコウ",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
当帰養血精Ｌ,八ツ目製薬,第2類,解熱鎮痛薬,更年期障害による次の諸症：冷え症、貧血、生理不順、生理痛、腹痛、腰痛、肩こり、頭痛、めまい、のぼせ、耳鳴り,"成人（１５歳以上）１日２回、１回４ｍＬを朝夕の食前又は食後に服用してください
１５歳未満は服用しないでください
＜用法・用量に関連する注意＞
服用前に容器をよく振ってください",15,"アキョウ
オウギ
カンゾウ
シャクヤク
ジオウ
センキュウ
トウキ
トウジン
ブクリョウ",禁止物質なし,,
ラフローラ,ロート製薬,第2類,解熱鎮痛薬,更年期障害、血の道症、月経不順、冷え症及びそれらに随伴する次の諸症状：月経痛、腰痛、頭痛、のぼせ、肩こり、めまい、動悸、息切れ、手足のしびれ、こしけ、血色不良、便秘、むくみ,"次の量を食後に水又はぬるま湯で服用してください
成人（１５歳以上）：１回４錠
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
用法・用量を厳守すること",15,"カンゾウ末
コウブシ
シャクヤク末
ジオウ
センキュウ
トウキ
ニンジン末
ビャクジュツ末
ブクリョウ末",禁止物質なし,,
いけだや實母散,延寿堂,第2類,解熱鎮痛薬,肩こり、月経痛、月経不順、頭痛、手足のしびれ、のぼせ、冷え症、ヒステリー、血色不良、便秘、めまい,"次の量を、４００ｍＬの水をもって煮て２００ｍＬに煮つめ、袋を取り去り、煎液を食前空腹時３回に分割服用する
大人（１５歳以上）：１日３回服用
１５歳未満：服用しないでください",15,"カンゾウ
ケイヒ
コウカ
コウブシ
シャクヤク
センキュウ
チョウジ
トウキ
ビャクジュツ
ビンロウジ
ブクリョウ
ボタンピ
モクツウ
モッコウ",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
ラリアン錠,剤盛堂薬品,第2類,解熱鎮痛薬,更年期障害、血の道症、月経不順、冷え症及びそれらに随伴する次の諸症状：月経痛、腰痛、頭痛、のぼせ、肩こり、めまい、動悸、息切れ、手足のしびれ、こしけ、血色不良、便秘、むくみ,"次の量を食後に、コップ半分以上のぬるま湯にて服用してください
成人（１５歳以上）：１回４錠
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
用法・用量を厳守すること",15,"カンゾウ末
コウブシ
シャクヤク末
ジオウ
センキュウ
トウキ
ニンジン末
ビャクジュツ末
ブクリョウ末",禁止物質なし,,
ラリアンハイ,剤盛堂薬品,第2類,解熱鎮痛薬,更年期障害、血の道症、月経不順、冷え症及びそれらに随伴する次の諸症状：月経痛、腰痛、頭痛、のぼせ、肩こり、めまい、動悸、息切れ、手足のしびれ、こしけ、血色不良、便秘、むくみ,"次の量を食後に、コップ半分以上のぬるま湯にて服用してください
成人（１５歳以上）：１回３錠
１１歳以上１５歳未満：１回２錠
１日３回服用
１１歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守すること
２．小児に服用させる場合には、保護者の指導監督のもとに服用させること",11,"カンゾウ
ケイヒ
コウブシ
シャクヤク
ジオウ
センキュウ
トウキ
ニンジン
ビャクジュツ
ブクリョウ",禁止物質なし,,
女恵丹,剤盛堂薬品,第2類,解熱鎮痛薬,更年期障害、血の道症、月経不順、冷え症及びそれらに随伴する次の諸症状：月経痛、腰痛、頭痛、のぼせ、肩こり、めまい、動悸、息切れ、手足のしびれ、こしけ、血色不良、便秘、むくみ,"次の量を食後に、コップ半分以上のぬるま湯にて服用してください
成人（１５歳以上）：１回３錠
１１歳以上１５歳未満：１回２錠
１日３回服用
１１歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守すること
２．小児に服用させる場合には、保護者の指導監督のもとに服用させること",11,"カンゾウ
ケイヒ
コウブシ
シャクヤク
ジオウ
センキュウ
トウキ
ニンジン
ビャクジュツ
ブクリョウ",禁止物質なし,,
ウテレス,天恵堂製薬,第2類,解熱鎮痛薬,おりもの,"次の量を、１日３回食間に白湯又は水で服用してください
成人（１５歳以上）：１回１５丸
８歳以上１５歳未満：１回７丸
５歳以上８歳未満：１回５丸
１日３回服用
５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．定められた用法・用量を守ってください
２．小児に服用させる場合は、保護者の指導監督のもとに服用させてください
３．食間とは食後２～３時間を指します",5,"カノコソウ末
ガジュツ末
ケンゴシ末
サンリョウ末
ジオウ末
センキュウ末
センコツ末
トウキ末
ニンジン末
ブクリョウ末
ヤクモソウ末",禁止物質なし,,
天恵実母散顆粒,天恵堂製薬,第2類,解熱鎮痛薬,更年期障害、血の道症、月経不順、冷え症、及びそれらに随伴する次の諸症状：月経痛、腰痛、頭痛、のぼせ、肩こり、めまい、どうき、息ぎれ、手足のしびれ、こしけ、血色不良、便秘、むくみ,"次の量を、食間（空腹時）に水又は白湯にて服用してください
１５歳以上：１回１包
１１歳以上１５歳未満：１回２／３包
１日３回服用
１１歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．定められた用法、用量を守ってください
２．小児に服用させる場合は、保護者の指導監督のもとに服用させてください
３．食間とは食後２～３時間を指します",11,"カノコソウ末
カンゾウ末
ケイヒ末
コウブシ末
サフラン
シャクヤク末
センキュウ末
トウキ末
ニンジン末
ビャクジュツ末
ブクリョウ末
ボタンピ末",禁止物質なし,,
人参サフラン湯,島伊兵衛薬品,第2類,解熱鎮痛薬,風引、血の道、更年期障害、更年期神経症、ヒステリー、冷え性、神経痛、リウマチ、頭痛、月経不順、月経痛、こしけ,"大人小児１５歳以上１日１貼を２回に分けて服用してください
初め１回目は約０．１８Ｌ程の熱湯にて振出し、２回目は水約０．２７Ｌを加え約０．１８Ｌ程に煎じ温服してください",,"アセンヤク
ウイキョウ
オウレン
カノコソウ
カンゾウ
ケイヒ
コウブシ
サフラン
サンシシ
シャクヤク
センキュウ
ソウジュツ
ダイオウ
チョウジ
トウキ
ニンジン
ブクリョウ
ボタンピ
モッコウ",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
かめや実母散「顆粒」,福岡薬工社,第2類,解熱鎮痛薬,更年期障害、血の道症、月経不順、冷え症、肩のこり、及びそれらに随伴する次の症状：月経痛、腰痛、頭痛、のぼせ、肩こり、めまい、動悸、息切れ、手足のしびれ、こしけ、血行不良、便秘、むくみ,"大人（１５歳以上）：１回１包
１１歳以上１５歳未満：１回２／３包
１日３回、食間（空腹時）水又は白湯にて服用してください
＜用法及び用量に関連する注意＞
１．定められた用法、用量を厳守してください
２．小児に服用させる場合は、保護者の指導監督のもとに服用させてください",,"カノコソウ末
カンゾウ末
ケイヒ末
コウブシ末
サフラン
シャクヤク末
センキュウ末
トウキ末
ニンジン末
ビャクジュツ末
ブクリョウ末
ボタンピ末",禁止物質なし,,
